# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
batlballa	Puzzle	2	horizontal	senkyu	Battle Balls (Hong Kong)	1995	Seibu Kaihatsu (Metrotainment license)
batlballe	Puzzle	2	horizontal	senkyu	Battle Balls (Hong Kong, earlier)	1995	Seibu Kaihatsu (Metrotainment license)
batlballo	Puzzle	2	horizontal	senkyu	Battle Balls (Germany, earlier)	1995	Seibu Kaihatsu (Tuning license)
batlballpt	Puzzle	2	horizontal	senkyu	Battle Balls (Portugal)	1995	Seibu Kaihatsu
batlballu	Puzzle	2	horizontal	senkyu	Battle Balls (US)	1995	Seibu Kaihatsu (Fabtek license)
batlbubl	Puzzle	2	horizontal	bangball	Battle Bubble (v2.00)	1999	Banpresto (Limenko license?)
batlzone	Horizontal shooter	2	horizontal	mayday	Battle Zone (bootleg of Mayday)	1980	bootleg (Video Game)
batman	Beat 'em up	2	horizontal		Batman	1991	Atari Games
batman2	Vertical shooter	2	vertical	phoenix	Batman Part 2	1981	bootleg
batrider	Vertical shooter	2	horizontal		Armed Police Batrider (Europe) (Fri Feb 13 1998)	1998	Raizing / Eighting
batriderc	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (China) (Fri Feb 13 1998)	1998	Raizing / Eighting
batriderhk	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (Hong Kong) (Mon Dec 22 1997)	1998	Raizing / Eighting
batriderj	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (Japan, B version) (Fri Feb 13 1998)	1998	Raizing / Eighting
batriderja	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (Japan, older version) (Mon Dec 22 1997)	1998	Raizing / Eighting
batriderk	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (Korea) (Fri Feb 13 1998)	1998	Raizing / Eighting
batridert	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (Taiwan) (Mon Dec 22 1997)	1998	Raizing / Eighting
batrideru	Vertical shooter	2	horizontal	batrider	Armed Police Batrider (USA) (Fri Feb 13 1998)	1998	Raizing / Eighting
batsugun	Vertical shooter	2	horizontal		Batsugun	1993	Toaplan
batsuguna	Vertical shooter	2	horizontal	batsugun	Batsugun (older, set 1)	1993	Toaplan
batsugunb	Vertical shooter	2	horizontal	batsugun	Batsugun (Korean PCB)	1993	Toaplan
batsugunc	Vertical shooter	2	horizontal	batsugun	Batsugun (older, set 2)	1993	Toaplan
batsugunsp	Vertical shooter	2	horizontal	batsugun	Batsugun - Special Version	1993	Toaplan
battlane	Shooter	2	vertical		Battle Lane! Vol. 5 (set 1)	1986	Technos Japan (Taito license)
battlane2	Shooter	2	vertical	battlane	Battle Lane! Vol. 5 (set 2)	1986	Technos Japan (Taito license)
battlane3	Shooter	2	vertical	battlane	Battle Lane! Vol. 5 (set 3)	1986	Technos Japan (Taito license)
battlex	Horizontal shooter	2	horizontal		Battle Cross	1982	Omori Electric Co., Ltd.
battlnts	Shooter	2	vertical		Battlantis (version G)	1987	Konami
battlntsa	Shooter	2	vertical	battlnts	Battlantis (version F)	1987	Konami
battlntsj	Shooter	2	vertical	battlnts	Battlantis (Japan, version E)	1987	Konami
battroad	Action / Shooter	2	vertical		The Battle-Road	1984	Irem
bayroute	Run & gun	2	horizontal		Bay Route (set 3, World) (FD1094 317-0116)	1989	Sunsoft / Sega
bayroute1	Run & gun	2	horizontal	bayroute	Bay Route (set 1, US) (unprotected)	1989	Sunsoft / Sega
bayrouted	Run & gun	2	horizontal	bayroute	Bay Route (set 3, World) (bootleg of FD1094 317-0116 set)	1989	bootleg
bayroutej	Run & gun	2	horizontal	bayroute	Bay Route (set 2, Japan) (FD1094 317-0115)	1989	Sunsoft / Sega
bayroutejd	Run & gun	2	horizontal	bayroute	Bay Route (set 2, Japan) (bootleg of FD1094 317-0115 set)	1989	bootleg
bbakraid	Vertical shooter	2	horizontal		Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999)	1999	Eighting
bbakraidc	Vertical shooter	2	horizontal	bbakraid	Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999)	1999	Eighting
bbakraidj	Vertical shooter	2	horizontal	bbakraid	Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)	1999	Eighting
bbakraidja	Vertical shooter	2	horizontal	bbakraid	Battle Bakraid (Japan) (Wed Apr 7 1999)	1999	Eighting
bballs	Puzzle	2	horizontal		Bouncing Balls	1991	Comad
bballsa	Puzzle	2	horizontal	bballs	Bouncing Balls (Adult)	1991	Comad
bbbxing	Sports	2	horizontal		Best Bout Boxing (ver 1.3)	1994	Jaleco
bbmanw	Maze	2	horizontal		Bomber Man World / New Dyna Blaster - Global Quest	1992	Irem
bbmanwj	Maze	2	horizontal	bbmanw	Bomber Man World (Japan)	1992	Irem
bbmanwja	Maze	2	horizontal	bbmanw	Bomber Man World (Japan, revised sound hardware)	1992	Irem
bbredux	Platform	2	horizontal	bublbobl	Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB)	2013	bootleg (Punji)
bbros	Puzzle	2	horizontal	pang	Buster Bros. (USA)	1989	Mitchell (Capcom license)
bbusters	Shooter	2	horizontal		Beast Busters (World)	1989	SNK
bbustersj	Shooter	2	horizontal	bbusters	Beast Busters (Japan, Version 2, 3 Player)	1989	SNK
bbustersja	Shooter	2	horizontal	bbusters	Beast Busters (Japan, Version 2, 2 Player)	1989	SNK
bbustersu	Shooter	2	horizontal	bbusters	Beast Busters (US, Version 3)	1989	SNK
bbustersua	Shooter	2	horizontal	bbusters	Beast Busters (US, Version 2)	1989	SNK
bchopper	Horizontal shooter	2	horizontal		Battle Chopper (World)	1987	Irem
bcrusher	Beat 'em up	2	horizontal	kncljoe	Bone Crusher	1985	bootleg
bcruzm12	Shooter	2	vertical		Battle Cruiser M-12	1983	Sigma Enterprises Inc.
bcstry	Sports	2	horizontal		B.C. Story (set 1)	1997	SemiCom / Tirano
bcstrya	Sports	2	horizontal	bcstry	B.C. Story (set 2)	1997	SemiCom / Tirano
bdudes	Beat 'em up	1	horizontal		Bad Dudes - Burger Edition (Demo Version)	2025	Balek Corp
beaminv	Vertical shooter	2	vertical		Beam Invader	1979	Teknon Kogyo
beast	Platform	2	horizontal		Shadow of the Beast (Neo Geo demo)	????	Jeff Kurtz
beastfp	Platform	2	vertical	suprglob	Beastie Feastie (Pac-Man conversion, set 1)	1984	Epos Corporation
beastfpa	Platform	2	vertical	suprglob	Beastie Feastie (Pac-Man conversion, set 2)	1984	Epos Corporation
benberob	Platform	2	horizontal		Ben Bero Beh (Japan)	1984	Taito
berabohm	Beat 'em up	2	horizontal		Chou Zetsurinjin Berabowman (Japan, Rev C)	1988	Namco
berabohmb	Beat 'em up	2	horizontal	berabohm	Chou Zetsurinjin Berabowman (Japan, Rev B)	1988	Namco
berlwall	Platform	2	horizontal		The Berlin Wall	1991	Kaneko
berlwallk	Platform	2	horizontal	berlwall	The Berlin Wall (Korea)	1991	Kaneko (Inter license)
berlwallt	Platform	2	horizontal	berlwall	The Berlin Wall (bootleg?)	1991	Kaneko
bermudat	Vertical shooter	2	vertical		Bermuda Triangle (World?)	1987	SNK
bermudata	Vertical shooter	2	vertical	worldwar	Bermuda Triangle (World Wars) (US)	1987	SNK
bermudatj	Vertical shooter	2	vertical	bermudat	Bermuda Triangle (Japan)	1987	SNK
berzerk	Shooter / Maze	2	horizontal		Berzerk (revision RC31A)	1980	Stern Electronics
berzerka	Shooter / Maze	2	horizontal	berzerk	Berzerk (revision RC31)	1980	Stern Electronics
berzerkb	Shooter / Maze	2	horizontal	berzerk	Berzerk (revision RC28)	1980	Stern Electronics
berzerkf	Shooter / Maze	2	horizontal	berzerk	Berzerk (French Speech, revision RC31)	1980	Stern Electronics
berzerkg	Shooter / Maze	2	horizontal	berzerk	Berzerk (German Speech, revision RC32)	1980	Stern Electronics
berzerks	Shooter / Maze	2	horizontal	berzerk	Berzerk (Spanish Speech, revision RC32)	1980	Stern Electronics (Sonic License)
bestbest	Fighting	2	horizontal		Best Of Best	1994	SunA
bestleag	Football	2	horizontal	bigstrik	Best League (bootleg of Big Striker, Italian Serie A)	1993	bootleg
bestleaw	Football	2	horizontal	bigstrik	Best League (bootleg of Big Striker, World Cup)	1993	bootleg
bestri	Mini-games	2	horizontal		Bestri (Korea, set 1)	1998	F2 System
bestria	Mini-games	2	horizontal	bestri	Bestri (Korea, set 2)	1998	F2 System
bgaregga	Vertical shooter	2	horizontal		Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)	1996	Raizing / Eighting
bgareggabl	Vertical shooter	2	horizontal	bgaregga	1945 Er Dai / 1945 Part-2 (Chinese hack of Battle Garegga)	1998	bootleg (Melody)
bgareggabla	Vertical shooter	2	horizontal	bgaregga	Leishen Chuan / Thunder Deity Biography (Chinese hack of Battle Garegga)	1997	bootleg (Melody)
bgareggablj	Vertical shooter	2	horizontal	bgaregga	Battle Garegga (Japan, bootleg) (Sat Feb 3 1996)	1996	bootleg
bgareggacn	Vertical shooter	2	horizontal	bgaregga	Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)	1996	Raizing / Eighting
bgareggahk	Vertical shooter	2	horizontal	bgaregga	Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)	1996	Raizing / Eighting
bgareggak	Vertical shooter	2	horizontal	bgaregga	Battle Garegga (Korea / Greece) (Wed Feb 7 1996)	1996	Raizing / Eighting
bgaregganv	Vertical shooter	2	horizontal	bgaregga	Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)	1996	Raizing / Eighting
bgareggat	Vertical shooter	2	horizontal	bgaregga	Battle Garegga (location test) (Wed Jan 17 1996)	1996	Raizing / Eighting
bgareggat2	Vertical shooter	2	horizontal	bgaregga	Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)	1996	Raizing / Eighting
bgareggatw	Vertical shooter	2	horizontal	bgaregga	Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)	1996	Raizing / Eighting
bgareggaz	Vertical shooter	2	horizontal	bgaregga	Battle Garegga Zakk version (Europe / USA / Japan / Asia) (Sat Feb 3 1996)	2019	Raizing / Eighting
bigbang	Vertical shooter	2	vertical	tdragon2	Big Bang (9th Nov. 1993, set 1)	1993	NMK
bigbanga	Vertical shooter	2	vertical	tdragon2	Big Bang (9th Nov. 1993, set 2)	1993	NMK
bigbucks	Quiz	2	vertical		Big Bucks	1986	Dynasoft Inc.
bigfghtr	Horizontal shooter	2	horizontal	skyrobo	Tatakae! Big Fighter (Japan)	1989	Nichibutsu
bigkarnk	Platform / Beat 'em up	2	horizontal		Big Karnak (ver. 1.0, checksum 1e38c94)	1991	Gaelco
bigkarnka	Platform / Beat 'em up	2	horizontal	bigkarnk	Big Karnak (ver. 1.0, checksum 1e38b94)	1991	Gaelco
bigkong	Platform	2	vertical	ckong	Big Kong	1981	bootleg
bigprowr	Fighting	2	vertical		The Big Pro Wrestling! (set 1)	1983	Technos Japan
bigprowra	Fighting	2	vertical	bigprowr	The Big Pro Wrestling! (set 2)	1983	Technos Japan
bigrun	Racing	2	horizontal		Big Run (11th Rallye version, Europe?)	1989	Jaleco
bigrunu	Racing	2	horizontal	bigrun	Big Run (11th Rallye version, US?)	1989	Jaleco
bigstrik	Football	2	horizontal		Big Striker	1992	Jaleco
bigstrkb	Football	2	horizontal	bigstrik	Big Striker (bootleg)	1992	bootleg
bigstrkba	Football	2	horizontal	bigstrik	Big Striker (bootleg w/Italian teams)	1992	bootleg
bigtwin	Puzzle	2	horizontal		Big Twin	1995	Playmark
bigtwinb	Puzzle	2	horizontal	bigtwin	Big Twin (No Girls Conversion, set 1)	1995	Playmark
bigtwinc	Puzzle	2	horizontal	bigtwin	Big Twin (No Girls Conversion, set 2)	1995	Playmark
bikkuric	Casino	2	vertical		Bikkuri Card (Japan)	1987	Peni
billiard	Sports	2	vertical	hustler	The Billiards (bootleg of Video Hustler)	1981	bootleg
bilyard	Sports	2	horizontal		Billiard	198?	Terminal
bioatack	Vertical shooter	2	vertical		Bio Attack	1983	Taito Corporation
biomtoy	Run & gun	2	horizontal		Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032)	1995	Gaelco / Zeus
biomtoya	Run & gun	2	horizontal	biomtoy	Biomechanical Toy (ver. 1.0.1884, checksum 3f316c70)	1995	Gaelco / Zeus
biomtoyb	Run & gun	2	horizontal	biomtoy	Biomechanical Toy (ver. 1.0.1878, checksum d84b28ff)	1995	Gaelco / Zeus
biomtoyc	Run & gun	2	horizontal	biomtoy	Biomechanical Toy (ver. 1.0.1870, checksum ba682195)	1994	Gaelco / Zeus
bionicc	Platform / Run & gun	2	horizontal		Bionic Commando (Euro)	1987	Capcom
bionicc1	Platform / Run & gun	2	horizontal	bionicc	Bionic Commando (US set 1)	1987	Capcom
bionicc2	Platform / Run & gun	2	horizontal	bionicc	Bionic Commando (US set 2)	1987	Capcom
bioniccbl	Platform / Run & gun	2	horizontal	bionicc	Bionic Commandos (bootleg, set 1)	1987	bootleg
bioniccbl2	Platform / Run & gun	2	horizontal	bionicc	Bionic Commandos (bootleg, set 2)	1987	bootleg
bioplayc	Run & gun	2	horizontal	biomtoy	Bioplaything Cop (ver. 1.0.1823, checksum cd960fc9, prototype)	1994	Gaelco / Zeus
bioship	Horizontal shooter	2	horizontal		Bio-ship Paladin	1990	UPL (American Sammy license)
birdiy	Maze / Action	2	vertical		Birdiy	1983	Mama Top
birdtry	Sports	2	vertical		Birdie Try (Japan, revision 2, revision 1 MCU)	1988	Data East Corporation
birdtrya	Sports	2	vertical	birdtry	Birdie Try (Japan, revision 2)	1988	Data East Corporation
birdtryb	Sports	2	vertical	birdtry	Birdie Try (Japan, sample version)	1988	Data East Corporation
bishi	Mini-games	2	horizontal		Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)	1996	Konami
bjourney	Platform	2	horizontal		Blue's Journey / Raguy (ALM-001 ~ ALH-001)	1990	Alpha Denshi Co.
bjourneyh	Platform	2	horizontal	bjourney	Blue's Journey / Raguy (ALH-001)	1990	Alpha Denshi Co.
bjtwin	Platform	2	vertical		Bombjack Twin (set 1)	1993	NMK
bjtwina	Platform	2	vertical	bjtwin	Bombjack Twin (set 2)	1993	NMK
bjtwinp	Platform	2	vertical	bjtwin	Bombjack Twin (prototype? with adult pictures, set 1)	1993	NMK
bjtwinpa	Platform	2	vertical	bjtwin	Bombjack Twin (prototype? with adult pictures, set 2)	1993	NMK
bkrtmaq	Quiz	2	horizontal		Bakuretsu Quiz Ma-Q Dai Bouken (Japan)	1992	Namco
blackt96	Beat 'em up	2	horizontal		Black Touch '96	1996	D.G.R.M.
bladestl	Sports	2	vertical		Blades of Steel (version T, Joystick)	1987	Konami
bladestle	Sports	2	vertical	bladestl	Blades of Steel (version E, Trackball)	1987	Konami
bladestll	Sports	2	vertical	bladestl	Blades of Steel (version L, Trackball)	1987	Konami
blandia	Fighting	2	horizontal		Blandia	1992	Allumer
blandiap	Fighting	2	horizontal	blandia	Blandia (prototype)	1992	Allumer
blasted	Shooter	2	horizontal		Blasted	1988	Bally Midway
blaster	Shooter	2	horizontal		Blaster	1983	Williams / Vid Kidz
blasterkit	Shooter	2	horizontal	blaster	Blaster (conversion kit)	1983	Williams / Vid Kidz
blastero	Shooter	2	horizontal	blaster	Blaster (location test)	1983	Williams / Vid Kidz
blasto	Shooter	2	horizontal		Blasto	1978	Gremlin
blastoff	Vertical shooter	2	vertical		Blast Off (Japan)	1989	Namco
blazeon	Horizontal shooter	2	horizontal		Blaze On (World)	1992	A.I (Atlus license)
blazeonj	Horizontal shooter	2	horizontal	blazeon	Blaze On (Japan)	1992	A.I (Atlus license)
blazer	Vertical shooter	2	vertical		Blazer (Japan)	1987	Namco
blazstar	Horizontal shooter	2	horizontal		Blazing Star	1998	Yumekobo
blazstarcm	Horizontal shooter	2	horizontal	blazstar	Blazing Star (Stage Select Hack)	2020	Clear Paper, NeoCverA, JustinG
blkbustr	Maze	2	vertical	mrjong	BlockBuster	1983	Kiwako (ECI license)
blkdrgon	Platform / Run & gun	2	horizontal	blktiger	Black Dragon (Japan)	1987	Capcom
blkdrgonb	Platform / Run & gun	2	horizontal	blktiger	Black Dragon (bootleg)	1987	bootleg
blkheart	Horizontal shooter	2	horizontal		Black Heart	1991	UPL
blkheartj	Horizontal shooter	2	horizontal	blkheart	Black Heart (Japan)	1991	UPL
blkhole	Vertical shooter	2	vertical		Black Hole	1981	TDS & MINTS
blkpnthr	Beat 'em up	2	horizontal		Black Panther	1987	Konami
blktiger	Platform / Run & gun	2	horizontal		Black Tiger	1987	Capcom
blktigera	Platform / Run & gun	2	horizontal	blktiger	Black Tiger (older)	1987	Capcom
blktigerb1	Platform / Run & gun	2	horizontal	blktiger	Black Tiger (bootleg set 1)	1987	bootleg
blktigerb2	Platform / Run & gun	2	horizontal	blktiger	Black Tiger (bootleg set 2)	1987	bootleg
blktigerb3	Platform / Run & gun	2	horizontal	blktiger	Black Tiger / Black Dragon (mixed bootleg?)	1987	bootleg
blmbycar	Racing	2	horizontal		Blomby Car (Version 1P0)	1994	ABM & Gecas
blmbycaru	Racing	2	horizontal	blmbycar	Blomby Car (Version 1P0, not encrypted)	1994	ABM & Gecas
block	Breakout	2	vertical		Block Block (World 911219 Joystick)	1991	Capcom
blockade	Maze	2	horizontal		Blockade	1976	Gremlin
blockbl	Breakout	2	vertical	block	Block Block (bootleg)	1991	bootleg
blockcar	Breakout	2	vertical		Block Carnival / Thunder & Lightning 2	1992	Visco
blocken	Puzzle	2	horizontal		Blocken (Japan)	1994	Visco / KID
blockgal	Breakout	2	vertical		Block Gal (MC-8123B, 317-0029)	1987	Sega / Vic Tokai
blockhl	Puzzle	2	horizontal		Block Hole	1989	Konami
blockj	Breakout	2	vertical	block	Block Block (Japan 910910)	1991	Capcom
blockout	Puzzle	2	horizontal		Block Out (set 1)	1989	Technos Japan / California Dreams
blockout2	Puzzle	2	horizontal	blockout	Block Out (set 2)	1989	Technos Japan / California Dreams
blockout3	Puzzle	2	horizontal	blockout	Block Out (Europe and Oceania)	1989	Technos Japan / California Dreams
blockoutj	Puzzle	2	horizontal	blockout	Block Out (Japan)	1989	Technos Japan / California Dreams
blockr1	Breakout	2	vertical	block	Block Block (World 911106 Joystick)	1991	Capcom
blockr2	Breakout	2	vertical	block	Block Block (World 910910)	1991	Capcom
bloodbro	Shooter	2	horizontal		Blood Bros. (World?)	1990	TAD Corporation
bloodbroj	Shooter	2	horizontal	bloodbro	Blood Bros. (Japan, rev A)	1990	TAD Corporation
bloodbroja	Shooter	2	horizontal	bloodbro	Blood Bros. (Japan)	1990	TAD Corporation
bloodbrok	Shooter	2	horizontal	bloodbro	Blood Bros. (Korea)	1990	TAD Corporation
bloodbrom	Shooter	2	horizontal	bloodbro	Blood Bros. (Modular System)	199?	bootleg (Gaelco / Ervisa)
bloodbrou	Shooter	2	horizontal	bloodbro	Blood Bros. (US)	1990	TAD Corporation (Fabtek license)
bloodstm	Fighting	2	horizontal		BloodStorm (v2.22)	1994	Strata / Incredible Technologies
bloodstm104	Fighting	2	horizontal	bloodstm	BloodStorm (v1.04)	1994	Strata / Incredible Technologies
bloodstm110	Fighting	2	horizontal	bloodstm	BloodStorm (v1.10)	1994	Strata / Incredible Technologies
bloodstm210	Fighting	2	horizontal	bloodstm	BloodStorm (v2.10)	1994	Strata / Incredible Technologies
bloodstm216	Fighting	2	horizontal	bloodstm	BloodStorm (v2.16)	1994	Strata / Incredible Technologies
bloodstm220	Fighting	2	horizontal	bloodstm	BloodStorm (v2.20)	1994	Strata / Incredible Technologies
bloodstm221	Fighting	2	horizontal	bloodstm	BloodStorm (v2.21)	1994	Strata / Incredible Technologies
bloodwar	Fighting	2	horizontal		Blood Warrior	1994	Kaneko
blox16b	Puzzle	2	horizontal	bloxeed	Bloxeed (System 16B, PS2 data file)	2008	Sega
bloxeed	Puzzle	2	horizontal		Bloxeed (Japan) (FD1094 317-0139)	1989	Sega / Elorg
bloxeeda	Puzzle	2	horizontal	bloxeed	Bloxeed (Japan, earlier) (FD1094 317-0139)	1989	Sega
bloxeedc	Puzzle	2	horizontal	bloxeed	Bloxeed (World, C System)	1989	Sega / Elorg
bloxeedd	Puzzle	2	horizontal	bloxeed	Bloxeed (Japan) (bootleg of FD1094 317-0139 set)	1989	bootleg
bloxeedu	Puzzle	2	horizontal	bloxeed	Bloxeed (US, C System, Rev A)	1989	Sega / Elorg
blstroid	Shooter	2	horizontal		Blasteroids (rev 4)	1987	Atari Games
blstroid2	Shooter	2	horizontal	blstroid	Blasteroids (rev 2)	1987	Atari Games
blstroid3	Shooter	2	horizontal	blstroid	Blasteroids (rev 3)	1987	Atari Games
blstroidg	Shooter	2	horizontal	blstroid	Blasteroids (German, rev 2)	1987	Atari Games
blstroidh	Shooter	2	horizontal	blstroid	Blasteroids (with heads)	1987	Atari Games
blswhstl	Vertical shooter	2	vertical		Bells & Whistles (World, version L)	1991	Konami
blswhstla	Vertical shooter	2	vertical	blswhstl	Bells & Whistles (Asia, version M)	1991	Konami
blueandr	Platform / Action	2	horizontal		Blue And Red - Fight The Robots! (HB, v1.7 NTSC)	2026	Kaiju Wasp
bluehawk	Vertical shooter	2	vertical		Blue Hawk	1993	Dooyong
bluehawkn	Vertical shooter	2	vertical	bluehawk	Blue Hawk (Japan, NTC license, set 1)	1993	Dooyong (NTC license)
bluehawkna	Vertical shooter	2	vertical	bluehawk	Blue Hawk (Japan, NTC license, set 2)	1993	Dooyong (NTC license)
blueprnt	Maze	2	vertical		Blue Print (Midway)	1982	Zilec Electronics / Bally Midway
blueprntj	Maze	2	vertical	blueprnt	Blue Print (Jaleco)	1982	Zilec Electronics / Jaleco
blzntrnd	Sports	4	horizontal		Blazing Tornado	1994	Human Amusement
bmaster	Beat 'em up	2	horizontal		Blade Master (World)	1991	Irem
bngotime	Casino	2	vertical		Bingo Time (World)	1986	CLS
bnj	Racing / Action	2	vertical	brubber	Bump 'n' Jump	1982	Data East USA
bnstars	Mahjong	2	horizontal	bnstars1	Vs. Janshi Brandnew Stars (Ver 1.1, MegaSystem 32 Version)	1997	Jaleco
bnzabros	Platform	2	horizontal		Bonanza Bros (US, Floppy DS3-5000-07d? Based)	1990	Sega
bnzabrosj	Platform	2	horizontal	bnzabros	Bonanza Bros (Japan, Floppy DS3-5000-07b Based)	1990	Sega
boblbobl	Platform	2	horizontal	bublbobl	Bobble Bobble (bootleg of Bubble Bobble)	1986	bootleg
boblcave	Platform	2	horizontal	bublbobl	Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB)	2013	hack (Bisboch and Aladar)
bodyslam	Fighting	2	horizontal		Body Slam (8751 317-0015)	1986	Sega
bogeyman	Platform	2	horizontal		Bogey Manor	1985	Technos Japan
boggy84	Platform	2	vertical		Boggy '84	1983	Kaneko
boggy84b	Platform	2	vertical	boggy84	Boggy '84 (bootleg, set 1)	1983	bootleg (Eddie's Games)
bombbee	Breakout	2	vertical		Bomb Bee	1979	Namco
bomber	Horizontal shooter	2	vertical	scramble	Bomber (bootleg of Scramble)	198?	bootleg (Alca)
bombjack	Platform	2	vertical		Bomb Jack	1984	Tehkan
bombjack2	Platform	2	vertical	bombjack	Bomb Jack (earlier)	1984	Tehkan
bombjackbl	Platform	2	vertical	bombjack	Bomb Jack (bootleg)	1985	bootleg
bombjackt	Platform	2	vertical	bombjack	Bomb Jack (Tecfri, Spain)	1984	Tehkan (Tecfri license)
bombkick	Platform	2	horizontal		Bomb Kick (set 1)	1998	Yun Sung
bombkicka	Platform	2	horizontal	bombkick	Bomb Kick (set 2)	1998	Yun Sung
bombrman	Maze	2	horizontal	dynablst	Bomber Man (Japan)	1991	Irem (licensed from Hudson Soft)
bongo	Platform	2	vertical		Bongo	1983	Jetsoft
bonkadv	Platform	2	horizontal		B.C. Kid (Europe) / Bonk's Adventure: Arcade Version (US, China, Korea) / Kyukyoku!! PC Genjin: Special Arcade Version (Japan)	1994	Kaneko (Hudson Soft / Red license)
bonusstage	Vertical shooter	2	horizontal		Bonus Stage (HB)	2020	Totologic
bonzeadv	Run & gun	2	horizontal		Bonze Adventure (World, rev 1)	1988	Taito
bonzeadvo	Run & gun	2	horizontal	bonzeadv	Bonze Adventure (World)	1988	Taito
